address,coordinates
"777 Brockton Avenue, Abington MA 2351","42.0961776, -70.9685309"
"30 Memorial Drive, Avon MA 2322","42.1213016, -71.0301639"
"250 Hartford Avenue, Bellingham MA 2019","42.1162302, -71.4653063"
"700 Oak Street, Brockton MA 2301","42.0981178, -71.0567557"
"66-4 Parkhurst Rd, Chelmsford MA 1824","42.6231736, -71.3609688"
"591 Memorial Dr, Chicopee MA 1020","42.1723059, -72.5737841"
"55 Brooksby Village Way, Danvers MA 1923",
"137 Teaticket Hwy, East Falmouth MA 2536","41.5593953, -70.5931307"
"42 Fairhaven Commons Way, Fairhaven MA 2719","41.6448221, -70.8880919"
"374 William S Canning Blvd, Fall River MA 2721","41.673137, -71.1607393"
"121 Worcester Rd, Framingham MA 1701","42.3007491, -71.3995274"
"677 Timpany Blvd, Gardner MA 1440","42.5513514, -71.9948426"
"337 Russell St, Hadley MA 1035","42.3533269, -72.5541704"
"295 Plymouth Street, Halifax MA 2338","41.9973365, -70.8464634"
"1775 Washington St, Hanover MA 2339","42.1450174, -70.8423057"
"280 Washington Street, Hudson MA 1749","43.3078834, -73.5814186"
"20 Soojian Dr, Leicester MA 1524",
"11 Jungle Road, Leominster MA 1453","42.4918138, -71.7299987"
"301 Massachusetts Ave, Lunenburg MA 1462","42.594903, -71.7599764"
"780 Lynnway, Lynn MA 1905","42.4485564, -70.9610234"
"70 Pleasant Valley Street, Methuen MA 1844","42.7431049, -71.1651251"
"830 Curran Memorial Hwy, North Adams MA 1247","42.6788594, -73.1056039"
"1470 S Washington St, North Attleboro MA 2760","41.9334728, -71.3501911"
"506 State Road, North Dartmouth MA 2747","41.6388423, -70.9764496"
"742 Main Street, North Oxford MA 1537","42.1560849, -71.8813758"
"72 Main St, North Reading MA 1864","42.5704602, -71.1130283"
"200 Otis Street, Northborough MA 1532","42.285158, -71.6565163"
"180 North King Street, Northhampton MA 1060",
"555 East Main St, Orange MA 1364","42.5886508, -72.2842093"
"555 Hubbard Ave-Suite 12, Pittsfield MA 1201",
"300 Colony Place, Plymouth MA 2360","41.9555081, -70.7180091"
"301 Falls Blvd, Quincy MA 2169","42.2362382, -70.9863578"
"36 Paramount Drive, Raynham MA 2767","41.9042441, -71.0324157"
"450 Highland Ave, Salem MA 1970","42.4943873, -70.9354758"
"1180 Fall River Avenue, Seekonk MA 2771","41.7953253, -71.3251082"
"1105 Boston Road, Springfield MA 1119","42.1360979, -72.5069008"
"100 Charlton Road, Sturbridge MA 1566","42.1281421, -72.0599894"
"262 Swansea Mall Dr, Swansea MA 2777","41.7554206, -71.217998"
"333 Main Street, Tewksbury MA 1876","42.6228768, -71.2696961"
"550 Providence Hwy, Walpole MA 2081","42.1419846, -71.2148072"
"352 Palmer Road, Ware MA 1082","42.2376223, -72.2790302"
"3005 Cranberry Hwy Rt 6 28, Wareham MA 2538",
"250 Rt 59, Airmont NY 10901",
"141 Washington Ave Extension, Albany NY 12205","42.6949537, -73.8470304"
"13858 Rt 31 W, Albion NY 14411",
"2055 Niagara Falls Blvd, Amherst NY 14228","43.0112078, -78.8221798"
"101 Sanford Farm Shpg Center, Amsterdam NY 12010",
"297 Grant Avenue, Auburn NY 13021","42.9540557, -76.5481471"
"4133 Veterans Memorial Drive, Batavia NY 14020","43.013597, -78.2080341"
"6265 Brockport Spencerport Rd, Brockport NY 14420","43.1968956, -77.927773"
"5399 W Genesse St, Camillus NY 13031",
"3191 County rd 10, Canandaigua NY 14424","42.905003, -77.3439896"
"30 Catskill, Catskill NY 12414","42.2162931, -73.8710584"
"161 Centereach Mall, Centereach NY 11720","40.8597526, -73.0825542"
"3018 East Ave, Central Square NY 13036","43.2914034, -76.1273483"
"100 Thruway Plaza, Cheektowaga NY 14225","42.9051232, -78.7782862"
"8064 Brewerton Rd, Cicero NY 13039","43.1610228, -76.1174597"
"5033 Transit Road, Clarence NY 14031","42.9832665, -78.6938274"
"3949 Route 31, Clay NY 13041","43.1748733, -76.1344832"
"139 Merchant Place, Cobleskill NY 12043","42.6824592, -74.4554224"
"85 Crooked Hill Road, Commack NY 11725","40.8116484, -73.2894232"
"872 Route 13, Cortlandville NY 13045","42.5733146, -76.2146154"
"279 Troy Road, East Greenbush NY 12061","42.639224, -73.7000507"
"2465 Hempstead Turnpike, East Meadow NY 11554","40.7268389, -73.543729"
"6438 Basile Rowe, East Syracuse NY 13057","43.0610332, -76.060286"
"25737 US Rt 11, Evans Mills NY 13637",
